actionable_rank,page_reference,review_priority_score,model_score,feature_impressions,feature_clicks,feature_ctr,feature_avg_position,feature_position_volatility,feature_active_days,feature_available_days,position_band,archetype,action_label,reason_code,confidence_level,confidence_note,review_cost_tier,estimated_review_minutes,human_review_required
4638,REVIEW-04638,60.25,0.620913219696271,1005.0,1.0,0.0009950248756218905,6.3315639446770735,3.518552921828953,15,15,Page 1,HIGH_RISK_VOLATILE,REFRESH_REVIEW,HIGH_RISK_HIGH_VOLATILITY,MEDIUM,High measured risk with high training-referenced volatility.,MEDIUM,90,True
4639,REVIEW-04639,60.25,0.47435211731726556,2812.0,11.0,0.0039118065433854906,2.880209427197504,0.7104602369584007,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4640,REVIEW-04640,60.24,0.6238849606440513,989.0,0.0,0.0,5.48142703069159,1.6674528091679088,15,15,Page 1,HIGH_RISK_OTHER,MANUAL_REVIEW,HIGH_RISK_NO_CLEAR_ARCHETYPE,LOW,A full human investigation is required.,MEDIUM,30,True
4641,REVIEW-04641,60.24,0.5944901667946161,1172.0,1.0,0.0008532423208191126,4.698334634284083,1.9972958145214617,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4642,REVIEW-04642,60.24,0.5846689418394928,1242.0,2.0,0.001610305958132045,7.635471201825938,1.1817787847838361,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4643,REVIEW-04643,60.24,0.5321536889988201,1756.0,4.0,0.002277904328018223,2.3599970526088856,1.1516147395442458,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4644,REVIEW-04644,60.24,0.4779575072084482,2711.0,10.0,0.0036886757654002213,2.810160673060427,0.42230560970065045,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4645,REVIEW-04645,60.23,0.5999786174966358,1134.0,0.0,0.0,1.6460005365538752,1.0518294031684794,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4646,REVIEW-04646,60.23,0.5899655070025234,1202.0,1.0,0.0008319467554076539,2.5766127900202225,1.8147951673575635,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4647,REVIEW-04647,60.23,0.5757741932421901,1311.0,4.0,0.0030511060259344014,5.9207861692695225,5.551144280460346,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4648,REVIEW-04648,60.23,0.5607883074419197,1445.0,3.0,0.0020761245674740486,6.1504254757874195,1.5032998193084854,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4649,REVIEW-04649,60.23,0.5602420889429471,1453.0,5.0,0.0034411562284927736,9.206745612216684,3.0487604327465596,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
