method,validation_rows,base_rate,precision@20,precision@50,lift@50_vs_base_rate,recall@50,average_precision,roc_auc
Logistic Regression,15963,0.3007580028816638,0.5,0.64,0.3392419971183362,0.006665278067069361,0.3939219447804337,0.6175369380617526
Random Forest,15963,0.3007580028816638,0.4,0.52,0.2192419971183362,0.0054155384294938555,0.39091450067836503,0.6211089183213451
ML-07 Baseline,15963,0.3007580028816638,0.55,0.52,0.2192419971183362,0.0054155384294938555,0.37757054086235325,0.6058842710342889
