feature_set,precision@50,average_precision,roc_auc,contains_future_field
Honest pre-outcome features,0.64,0.3939219447804337,0.6175369380617526,False
Leaky features plus decline_ratio,1.0,0.9998934007832623,0.9999536283372249,True
